,Airport,FAA REGION,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions,departures for metric computation,arrivals for metric computation,percent on-time gate departures,percent on-time airport departures,percent on-time gate arrivals,average_gate_departure_delay,average_taxi_out_time,average taxi out delay,average airport departure delay,average airborne delay,average taxi in delay,average block delay,average gate arrival delay,Arrival Percentage,Departure Percentage,No Diversion Percentage,Overall Chance of No Problems
132,MSY,ASW,755.0,659.0,136.0,155.0,63061.0,63323.0,0.8166,0.8019,0.7721,10.41,10.01,2.14,11.77,2.34,0.82,3.05,12.09,0.989593038864,0.98802746547,0.995394986707,0.99100516368
133,MSY,ASW,1714.0,1557.0,97.0,256.0,46978.0,47441.0,0.7815,0.7617,0.7424,12.41,10.28,2.58,14.15,2.73,1.35,3.38,13.94,0.967180287093,0.963514836732,0.992522691407,0.974405938411
134,MSY,ASW,275.0,245.0,74.0,42.0,39738.0,39639.0,0.7809,0.7574,0.7497,12.68,10.55,2.46,14.36,2.05,0.8,3.19,13.59,0.993819218446,0.993079671851,0.997077238999,0.994658709765
135,MSY,ASW,380.0,342.0,77.0,43.0,46656.0,46787.0,0.7853,0.7538,0.7343,13.05,10.83,2.73,15.01,2.2,1.06,3.44,14.9,0.992690277214,0.991855281207,0.997431589311,0.993992382577
136,MSY,ASW,814.0,772.0,98.0,61.0,49916.0,49920.0,0.7991,0.7735,0.7627,12.23,10.57,2.38,13.86,2.08,0.96,3.22,13.35,0.98453525641,0.983692603574,0.996814776233,0.988347545406
137,MSY,ASW,204.0,178.0,85.0,53.0,45682.0,45770.0,0.8332,0.8067,0.7907,10.13,10.69,2.37,11.7,1.99,1.14,2.87,11.45,0.996110989731,0.995534346132,0.996982023357,0.99620911974
138,MSY,ASW,401.0,356.0,78.0,68.0,46923.0,47188.0,0.8169,0.7898,0.7903,10.66,10.73,2.28,12.18,2.01,1.28,2.6,11.27,0.992455709079,0.991454084351,0.99689728087,0.9936023581
139,MSY,ASW,406.0,358.0,91.0,46.0,48593.0,48753.0,0.8221,0.8,0.7925,10.53,10.57,2.1,11.85,1.96,1.17,2.51,11.31,0.992656862142,0.991644887124,0.997185297804,0.99382901569
140,MSY,ASW,568.0,518.0,55.0,78.0,47684.0,47777.0,0.8259,0.8059,0.7955,10.37,10.42,2.02,11.61,1.67,1.2,2.37,10.98,0.989157963037,0.98808824763,0.997213521752,0.991486577473
141,MSY,ASW,328.0,297.0,87.0,69.0,52334.0,52915.0,0.7943,0.7732,0.7647,11.84,10.42,2.13,13.12,1.72,1.18,2.69,13.0,0.994387224794,0.993732563916,0.997035601288,0.995051796666
142,MSY,ASW,595.0,530.0,85.0,102.0,53045.0,53084.0,0.7739,0.751,0.7516,13.57,10.56,2.11,14.87,1.95,1.16,2.74,14.28,0.990015823977,0.988783108681,0.996475986771,0.991758306476
143,AUS,ASW,477.0,436.0,53.0,40.0,14094.0,14052.0,0.7845,0.7658,0.7486,12.05,11.0,2.33,13.73,2.85,0.82,3.26,13.95,0.968972388272,0.966155810983,0.993391600938,0.976173266731
144,AUS,ASW,435.0,411.0,57.0,76.0,55790.0,55678.0,0.8107,0.7892,0.7641,10.31,10.98,2.42,12.04,2.61,0.99,2.74,12.62,0.992618269334,0.992202903746,0.997613664908,0.994144945996
145,AUS,ASW,440.0,387.0,82.0,51.0,56809.0,56704.0,0.7826,0.7579,0.7424,12.29,11.33,2.34,13.95,2.39,1.02,3.28,14.35,0.99317508465,0.992254748367,0.997656656066,0.994362163028
146,AUS,ASW,827.0,773.0,116.0,114.0,62255.0,62685.0,0.7789,0.7499,0.7241,12.84,12.1,2.74,14.79,2.41,1.27,3.45,15.39,0.987668501236,0.986715926432,0.996318232752,0.99023422014
147,AUS,ASW,732.0,688.0,95.0,86.0,60425.0,60559.0,0.7986,0.773,0.7473,11.77,12.11,2.6,13.51,2.05,1.02,3.06,14.42,0.988639178322,0.987885808854,0.997007868809,0.991177618662
148,AUS,ASW,298.0,261.0,72.0,69.0,53686.0,53651.0,0.8154,0.7943,0.772,10.91,11.67,2.05,12.23,2.26,1.16,2.69,12.73,0.995135225811,0.994449204634,0.997372760558,0.995652397001
149,AUS,ASW,356.0,307.0,74.0,67.0,54502.0,54481.0,0.8068,0.7857,0.7734,10.98,11.46,1.91,12.18,1.88,0.91,2.36,12.38,0.994365007984,0.99346812961,0.997412440472,0.995081859356
150,AUS,ASW,425.0,399.0,102.0,30.0,55584.0,55526.0,0.8051,0.7841,0.7738,11.29,11.38,1.97,12.56,1.65,0.97,2.42,12.56,0.992814177142,0.992353914796,0.99762397624,0.994264022726
151,AUS,ASW,353.0,323.0,80.0,60.0,56043.0,55752.0,0.8083,0.784,0.7769,10.98,11.59,2.25,12.46,1.69,1.18,2.46,12.3,0.994206485866,0.9937012651,0.997495415716,0.995134388894
152,AUS,ASW,390.0,318.0,84.0,80.0,58240.0,58316.0,0.7716,0.7433,0.7261,13.25,11.8,2.33,14.85,1.8,1.19,3.04,16.35,0.994546951094,0.993303571429,0.997185902056,0.995012141526
153,AUS,ASW,484.0,435.0,88.0,97.0,60588.0,60264.0,0.7627,0.7382,0.7222,14.16,11.76,2.06,15.59,2.25,1.08,2.88,16.2,0.992781760255,0.992011619463,0.996938403998,0.993910594572
154,JAX,ASO,645.0,558.0,94.0,63.0,11321.0,11447.0,0.7824,0.7584,0.7496,11.9,11.64,2.5,13.57,1.55,0.7,2.23,13.15,0.951253603564,0.943026234432,0.986208713985,0.96016285066
155,JAX,ASO,363.0,296.0,91.0,32.0,46410.0,46695.0,0.777,0.7525,0.739,12.67,11.76,2.65,14.53,1.69,1.04,3.01,14.12,0.993660991541,0.992178409825,0.997357821814,0.994399074393
156,JAX,ASO,311.0,287.0,114.0,41.0,45885.0,46065.0,0.7822,0.7587,0.7469,12.35,11.88,2.44,14.05,1.5,1.01,2.85,13.68,0.993769673288,0.9932221859,0.996628602501,0.994540153896
157,JAX,ASO,446.0,414.0,122.0,44.0,48344.0,48598.0,0.7744,0.7407,0.7117,13.44,12.76,3.02,15.64,1.37,1.48,3.45,15.88,0.991481130911,0.990774449777,0.996575271812,0.9929436175
158,JAX,ASO,495.0,434.0,85.0,73.0,43779.0,44043.0,0.7964,0.7701,0.7487,12.5,12.69,2.65,14.28,1.44,0.94,3.59,14.34,0.990145993688,0.988693209073,0.996401812758,0.991747005173
159,JAX,ASO,274.0,220.0,88.0,64.0,38246.0,38209.0,0.8212,0.7858,0.7799,10.76,12.97,2.97,12.78,1.28,0.89,3.14,12.04,0.994242194247,0.992835852115,0.996023804853,0.994367283738
160,JAX,ASO,444.0,384.0,95.0,40.0,37272.0,37361.0,0.8334,0.8011,0.7832,9.92,12.66,2.68,11.57,1.15,0.87,2.65,11.9,0.989721902519,0.98808757244,0.996382297375,0.991397257445
161,JAX,ASO,367.0,333.0,75.0,39.0,38130.0,38079.0,0.822,0.8009,0.7781,10.98,12.32,2.22,12.26,1.19,0.81,2.78,12.45,0.991255022453,0.990375032783,0.997008227375,0.992879427537
162,JAX,ASO,234.0,194.0,56.0,37.0,34150.0,34070.0,0.8279,0.8054,0.7868,10.71,12.44,2.21,11.99,1.1,1.04,2.42,12.28,0.994305840916,0.993147877013,0.997273526825,0.994909081585
163,JAX,ASO,279.0,237.0,71.0,41.0,34562.0,34417.0,0.7957,0.7692,0.7514,12.73,12.64,2.34,14.16,1.26,1.15,2.72,14.29,0.993113868147,0.991927550489,0.99675263486,0.993931351165
164,JAX,ASO,468.0,417.0,71.0,39.0,35084.0,35010.0,0.7868,0.7596,0.7414,13.32,12.7,2.19,14.77,2.11,0.85,3.09,14.92,0.988089117395,0.986660586022,0.996861357606,0.990537020341
