,city,company,salary,summary,title,parsed_salary
0,San+Francisco,MarkMonitor,"$180,000 a year","Data skills (SQL, Hive, Pig). Applying machine learning to classification problems on unstructured data. MarkMonitor&mdash;the world leader in brand protection...",Data Scientist,180000.0
1,San+Francisco,Workbridge Associates,"$130,000 - $180,000 a year","3+ years of industry experience in a data science or data engineering role. Strong coding skills in data science languages (R, Python)....",Senior Data Scientist,155000.0
2,San+Francisco,Mines.io,"$80,000 - $120,000 a year",We are looking for a data scientist/developer to fill a cross-functional role on our small team. We expect you to be able to work and experiment with large data...,Full-Stack Data Scientist,100000.0
3,San+Francisco,Workbridge Associates,"$150,000 - $180,000 a year",In this position you will share programming and mathematical challenges with fellow data scientists. A San Francisco-based retail startup is looking to bring on...,Data Scientist,165000.0
4,San+Francisco,Smith Hanley Associates,"$140,000 a year","This person will recruit, build and lead a team of Data Scientists. Top technology firm in the Bay Area seeks a Data Scientist for a leadership role in consumer...",Data Scientist,140000.0
5,San+Francisco,HSF Consulting,"$300,000 a year","Teams included Data Services(including data engineering and data warehouse developers), Data Operations, and Data Science. Data lead at data company:....",VP of Data Services,300000.0
6,San+Francisco,All-In Analytics,"$100,000 - $150,000 a year","Fraud Data Scientist. Seeking someone with skills and experience when it comes to Business Analysis, Compliance, Fraud Analytics, Anti Money Laundering (AML),...",Fraud Data Scientist,125000.0
7,San+Francisco,Brilent,"$130,000 a year","Perform large-scale data analysis, find interesting patterns and translate them into product improvements. We are building the next-generation, big data talent...",Senior Data Scientist,130000.0
8,San+Francisco,HSF Consulting,"$160,000 a year","More data- they simply have more data than they know what to do with right now. About the startup- Applying disruptive data science, cognitive research, ML and...",Senior Data Scientist,160000.0
9,San+Francisco,All-In Analytics,"$100,000 - $150,000 a year","Fraud Data Scientist. Seeking someone with skills and experience when it comes to Business Analysis, Compliance, Fraud Analytics, Anti Money Laundering (AML),...",Fraud Data Scientist,125000.0
10,San+Francisco,Jobspring Partners,"$150,000 - $175,000 a year","Given the high volume of data collected by the company’s software, experience with non-relational databases is strongly preferred....",Python Developer (Machine Learning),162500.0
12,San+Francisco,Workbridge Associates,"$100,000 - $200,000 a year","You will collaborate with Product, Data Engineering, and Research & Development. This person will be responsible for developing novel algorithms that translate...",Chief Algorithm Developer (Signal Processing) - Wearables,150000.0
13,San+Francisco,HSF Consulting,"$300,000 a year","Teams included Data Services(including data engineering and data warehouse developers), Data Operations, and Data Science. Data lead at data company:....",VP of Data Services,300000.0
14,San+Francisco,University of California Berkeley,"$43,692 - $51,120 a year",Demonstrated experience with programming for biological data analysis and familiarity with functional genetic and/or genomic data is expected....,Post-Doctoral Scholar-Employee: Analysis of omics data,47406.0
15,San+Francisco,Workbridge Associates,"$130,000 - $180,000 a year",This leading company has a job opening for Principal Data Scientist in Downtown San Francisco. The ideal candidate is excellent in problem solving in team...,Principal Data Scientist,155000.0
16,San+Francisco,Workbridge Associates,"$100,000 - $200,000 a year","You will collaborate with Product, Data Engineering, and Research & Development. This person will be responsible for developing novel algorithms that translate...",Chief Algorithm Developer (Signal Processing) - Wearables,150000.0
17,San+Francisco,Workbridge Associates,"$130,000 - $150,000 a year","2+ years of experience in Data Scientist, Quantitative Analyst, Research Engineering, or similar role. Subscription-based retail tech startup has an opening for...",Data Scientist (Econometrics),140000.0
18,San+Francisco,Workbridge Associates,"$100,000 - $140,000 a year","Solid experience in data science. Established mobile entertainment company is seeking to add a Data Scientist to their team to help in vital decision making,...",Data Scientist (Statistics/Economics),120000.0
19,San+Francisco,Corporate Labs Technology,"$110,000 - $180,000 a year","Machine Learning Developer Brisbane, CA Sign on bonus Stocks! Up to 10% bonuses $110-180k depending on experience Fast growing social media company is",Data Scientist (Machine Learning),145000.0
20,San+Francisco,Brilent,"$150,000 a year","The Brilent team brings together deep experience in machine learning, and data science from leading edge companies to solve the growing problem of leveraging...",Senior NLP Scientist/Engineer,150000.0
21,San+Francisco,Workbridge Associates,"$140,000 - $200,000 a year",The Senior Data Scientist position requires a fundamental knowledge of both computer programming and applied mathematics or statistics....,Senior Data Scientist (Autonomous Vehicle Research),170000.0
22,San+Francisco,3coast,"$80,000 - $200,000 a year",VP - Predictive Modeling / Data Scientist. Handle missing data through an algorithmic approach such as multiple imputations to enable insights in sparse and...,VP - Predictive Modeling / Data Scientist,140000.0
23,San+Francisco,University of California Berkeley,"$67,500 - $81,600 a year",Ensures accuracy and completeness of data in master files and various support tools. Should be knowledgeable about professional approaches and relevant...,"Database Administrator, GSE",74550.0
24,San+Francisco,"NextGen Jane, Inc.","$65,000 a year",Scientific Researcher – Next Gen Sequencing Scientist*. Scientist will be responsible for optimization of protocols and troubleshooting difficult sample types...,Scientific Researcher,65000.0
25,San+Francisco,Jobspring Partners,"$180,000 - $275,000 a year",This is an opportunity to lead a team of talented engineers in the personalization and data analytics industry....,Vice President Engineering (Big Data/ Machine Learning),227500.0
26,San+Francisco,Workbridge Associates,"$130,000 - $150,000 a year","2+ years of experience in Data Scientist, Quantitative Analyst, Research Engineering, or similar role. Subscription-based retail tech startup has an opening for...",Data Scientist (Econometrics),140000.0
27,San+Francisco,Workbridge Associates,"$100,000 - $140,000 a year","Solid experience in data science. Established mobile entertainment company is seeking to add a Data Scientist to their team to help in vital decision making,...",Data Scientist (Statistics/Economics),120000.0
28,San+Francisco,Workbridge Associates,"$140,000 - $200,000 a year",The Senior Data Scientist position requires a fundamental knowledge of both computer programming and applied mathematics or statistics....,Senior Data Scientist (Autonomous Vehicle Research),170000.0
29,San+Francisco,Talent Compliance Consulting Services,"$100,000 a year",Strong data analysis skills including setting specifications and monitoring reagent/kit lot performance....,Quality Control Scientist,100000.0
31,San+Francisco,California State University,"$50,400 - $60,000 a year",Compile and analyze data for written reports and presentations. Analyze data and make accurate projections using standard budgeting and accounting practices;...,"Administrative Analyst/Specialist, Exempt I - Office of Rese...",55200.0
32,San+Francisco,Workbridge Associates,"$110,000 - $130,000 a year",Industry experience as a data scientist. Popular mobile entertainment start up in downtown San Francisco is looking to add an experienced data scientist to...,"Senior Data Scientist (Python, R, recommendation)",120000.0
33,San+Francisco,Corporate Labs Technology,"$110,000 - $180,000 a year","Natural Language Processing Brisbane, CA Sign on bonus Stocks! Up to 10% bonuses $110-180k depending on experience Fast growing social media company is",Data Scientist (Natural Language Processing),145000.0
34,San+Francisco,Workbridge Associates,"$130,000 - $175,000 a year",3+ years as a Data Scientist required. FinTech start-up in the personal loan space in looking to bring on a Senior Data Scientist to add to their growing team....,Senior Data Scientist (FinTech),152500.0
35,San+Francisco,Workbridge Associates,"$165,000 - $195,000 a year",The role will be working on technology that provides API endpoints to gather data. A leading San Francisco-based company in the fin-tech space is looking for an...,"Staff Engineer, Machine Learning (Scala)",180000.0
36,San+Francisco,Workbridge Associates,"$120,000 - $150,000 a year","There is a small team of Data Engineers and Data Scientists, and they are looking for similar-minded individuals that seek learning opportunities and a...",Mid-Level Data Engineer,135000.0
37,San+Francisco,Workbridge Associates,"$120,000 - $140,000 a year","A really fast-growing, small startup company has an open job for a Data Scientist in San Francisco. The ideal candidate is strong with Python, has experience...",Data Scientist - Python,130000.0
38,San+Francisco,Analytic Recruiting,"$160,000 a year",5+ years experience in data mining of large disparate data and data modeling. Track record of success in a data scientist role....,Lead Data Scientist,160000.0
39,San+Francisco,Workbridge Associates,"$150,000 - $200,000 a year","Drive creation of best practices and new standards for statistical data modeling, optimization tools and big data for consumer facing website....",Director of Data Science (Mapping),175000.0
40,San+Francisco,Brilent,"$150,000 a year","The Brilent team brings together deep experience in machine learning, and data science from leading edge companies to solve the growing problem of leveraging...",Senior NLP Scientist/Engineer,150000.0
41,San+Francisco,Workbridge Associates,"$110,000 - $130,000 a year",Industry experience as a data scientist. Popular mobile entertainment start up in downtown San Francisco is looking to add an experienced data scientist to...,"Senior Data Scientist (Python, R, recommendation)",120000.0
42,San+Francisco,Jobspring Partners,"$180,000 - $275,000 a year",This is an opportunity to lead a team of talented engineers in the personalization and data analytics industry....,Vice President Engineering (Big Data/ Machine Learning),227500.0
43,San+Francisco,Workbridge Associates,"$130,000 - $175,000 a year",3+ years as a Data Scientist required. FinTech start-up in the personal loan space in looking to bring on a Senior Data Scientist to add to their growing team....,Senior Data Scientist (FinTech),152500.0
44,San+Francisco,LT,"$125,000 a year",We have four QA engineers with three more open positions and two data scientists with more open roles. My client a leading mobile application company located in...,QA Engineer,125000.0
45,San+Francisco,LT,"$200,000 a year",We have four QA engineers with three more open positions and two data scientists with more open roles. My client a leading mobile application company located in...,Java Developer,200000.0
47,San+Francisco,LT,"$180,000 a year",We have two QA engineers with three more open positions and one data scientist with more open roles. My client a leading mobile application company located in...,Erlang Engineer,180000.0
48,San+Francisco,University of California Berkeley,"$49,012 a year",Concepts in Computing with Data. (On reproducible and collaborative statistical data science). Introduction to Probability & Statistics for Life Scientists....,Lecturer - Statistics - Department of Statistics (includes s...,49012.0
49,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
50,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
51,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
52,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
53,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
54,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
55,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
56,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
57,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
58,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
59,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
60,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
61,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
62,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
63,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
64,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
65,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
66,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
67,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
68,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
69,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
70,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
71,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
72,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
73,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
74,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
75,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
76,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
77,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
78,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
79,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
80,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
81,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
82,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
83,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
84,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
85,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
86,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
87,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
88,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
89,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
90,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
91,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
92,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
93,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
94,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
95,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
96,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
97,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
98,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
99,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
100,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
101,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
102,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
103,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
104,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
105,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
106,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
107,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
108,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
109,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
110,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
111,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
112,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
113,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
114,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
115,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
116,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
117,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
118,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
119,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
120,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
121,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
122,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
123,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
124,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
125,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
126,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
127,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
128,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
129,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
130,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
131,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
132,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
133,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
134,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
135,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
136,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
137,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
138,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
139,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
140,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
141,San+Francisco,Workbridge Associates,"$120,000 - $155,000 a year",Industry experience working as a data scientist. New start-up in the healthcare space is seeking a Senior Data Scientist to join their team of focused and...,Senior Data Scientist (Healthcare),137500.0
