title,location,summary_review,review_score,movie_score,genre
Gunday,Bangladesh,wrong history of bangladesh liberation war ,1,2,Action
Gunday,"London, England",wrong time line ,1,2,Action
Gunday,"Gurgaon, India",despicable ,2,2,Action
Gunday,Bangladesh,humiliating bangladeshi liberation war ,1,2,Action
Gunday,Toronto,very shameful act by the producer ,2,2,Action
Gunday,Bangladesh,distortion of the history of our liberation war ,1,2,Action
Gunday,Australia,apology be not enough ,1,2,Action
Gunday,Bangladesh,india 's worst ,1,2,Action
Gunday,Bangladesh,should bring them to justice for gunday ,1,2,Action
Gunday,"London, England",a pathetic historical movie ever see ,1,2,Action
Gunday,Bangladesh,the most ugly and lie historical movie in indian industry ,2,2,Action
Gunday,united states,protest ,1,2,Action
Gunday,Bangladesh,rubbish story line bad acting a complete waste of time ,1,2,Action
Gunday,"London, England",irrelevant information and time waste event ,1,2,Action
Gunday,london,say no to gunday ,1,2,Action
Gunday,"London, England",a movie base on a manipulate history ,1,2,Action
Gunday,London,i strictly protest as a bangladeshi ,1,2,Action
Gunday,UNKNOWN,historically fraudulent laughable ... & offensive ( most importantly ) ,2,2,Action
Gunday,United States,worst screenplay that i have ever see in any bollywood movie ,1,2,Action
Gunday,United States,bollywood non sense ,1,2,Action
Gunday,United States,stupid movie ,1,2,Action
Gunday,Dhaka,gunday be nothing but a digital barbarism against bangladesh ,1,2,Action
Gunday,"Dhaka, Bangladesh",the story of gunday spoil contribution of bangladesh ,1,2,Action
Gunday,dhaka,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,Bangladesh,this movie should be ban if they do not cut or edit the beginning scene ,1,2,Action
Gunday,UNKNOWN,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,Bangladesh,protest against fake story about the liberation war of bangladesh in 1971 ,1,2,Action
Gunday,Bangladesh,historically not right ,2,2,Action
Gunday,Bangladesh,protest gunday as this be base on lie story ,1,2,Action
Gunday,bangladesh,humiliating speech ,1,2,Action
Gunday,dhaka,protest ,1,2,Action
Gunday,UNKNOWN,protest ,1,2,Action
Gunday,Bangladesh,who give permission ,1,2,Action
Gunday,"Dhaka, Bangladesh",not appropriate ,1,2,Action
Gunday,Bangladesh,manipulate bangladesh 's liberation war history ,1,2,Action
Gunday,Bangladesh,the bad movie ever attempt ,1,2,Action
